Time,Step_number,Number_of_Traffic_Ctrl_true,Traffic_Ctrl_Id,Traffic_Ctrl_Phase_true
15.25,882,1,,
15.2667,883,1,,
15.2833,884,1,,
15.3,885,1,,
15.3167,886,1,,
15.3333,887,1,,
15.35,888,1,,
15.3667,889,1,,
15.3833,890,1,,
15.4,891,1,,
15.4167,892,1,,
15.4333,893,1,,
15.45,894,1,,
15.4667,895,1,,
15.4833,896,1,,
15.5,897,1,,
15.5167,898,1,,
15.5333,899,1,,
15.55,900,1,,
15.5667,901,1,,
15.5833,902,1,,
15.6,903,1,,
15.6167,904,1,,
15.6333,905,1,,
15.65,906,1,,
15.6667,907,1,,
15.6833,908,1,,
15.7,909,1,,
15.7167,910,1,,
15.7333,911,1,,
15.75,912,1,,
15.7667,913,1,,
15.7833,914,1,,
15.8,915,1,,
15.8167,916,1,,
15.8333,917,1,,
15.85,918,1,,
15.8667,919,1,,
15.8833,920,1,,
15.9,921,1,,
15.9167,922,1,,
15.9333,923,1,,
15.95,924,1,,
15.9667,925,1,,
15.9833,926,1,,
16,927,1,,
16.0167,928,1,,
16.0333,929,1,,
16.05,930,1,,
16.0667,931,1,,
16.0833,932,1,,
16.1,933,1,,
16.1167,934,1,,
16.1333,935,1,,
16.15,936,1,,
16.1667,937,1,,
16.1833,938,1,,
16.2,939,1,,
16.2167,940,1,,
16.2333,941,1,,
16.25,942,1,,
16.2667,943,1,,
16.2833,944,1,,
16.3,945,1,,
16.3167,946,1,,
16.3333,947,1,,
16.35,948,1,,
16.3667,949,1,,
16.3833,950,1,,
16.4,951,1,,
16.4167,952,1,,
16.4333,953,1,,
16.45,954,1,,
16.4667,955,1,,
16.4833,956,1,,
16.5,957,1,,
16.5167,958,1,,
16.5333,959,1,,
16.55,960,1,,
16.5667,961,1,,
16.5833,962,1,,
16.6,963,1,,
16.6167,964,1,,
16.6333,965,1,,
16.65,966,1,,
16.6667,967,1,,
16.6833,968,1,,
16.7,969,1,,
16.7167,970,1,,
16.7333,971,1,,
16.75,972,1,,
16.7667,973,1,,
16.7833,974,1,,
16.8,975,1,,
16.8167,976,1,,
16.8333,977,1,,
16.85,978,1,,
16.8667,979,1,,
16.8833,980,1,,
16.9,981,1,,
16.9167,982,1,,
16.9333,983,1,,
16.95,984,1,,
16.9667,985,1,,
16.9833,986,1,,
17,987,1,,
17.0167,988,1,,
17.0333,989,1,,
17.05,990,1,,
17.0667,991,1,,
17.0833,992,1,,
17.1,993,1,,
17.1167,994,1,,
17.1333,995,1,,
17.15,996,1,,
17.1667,997,1,,
17.1833,998,1,,
17.2,999,1,,
17.2167,1000,1,,
17.2333,1001,1,,
17.25,1002,1,,
17.2667,1003,1,,
17.2833,1004,1,,
17.3,1005,1,,
17.3167,1006,1,,
17.3333,1007,1,,
17.35,1008,1,,
17.3667,1009,1,,
17.3833,1010,1,,
