Time,Step_number,Number_of_Traffic_Ctrl_true,Traffic_Ctrl_Id,Traffic_Ctrl_Phase_true
16.7667,975,1,,
16.7833,976,1,,
16.8,977,1,,
16.8167,978,1,,
16.8333,979,1,,
16.85,980,1,,
16.8667,981,1,,
16.8833,982,1,,
16.9,983,1,,
16.9167,984,1,,
16.9333,985,1,,
16.95,986,1,,
16.9667,987,1,,
16.9833,988,1,,
17,989,1,,
17.0167,990,1,,
17.0333,991,1,,
17.05,992,1,,
17.0667,993,1,,
17.0833,994,1,,
17.1,995,1,,
17.1167,996,1,,
17.1333,997,1,,
17.15,998,1,,
17.1667,999,1,,
17.1833,1000,1,,
17.2,1001,1,,
17.2167,1002,1,,
17.2333,1003,1,,
17.25,1004,1,,
17.2667,1005,1,,
17.2833,1006,1,,
17.3,1007,1,,
17.3167,1008,1,,
17.3333,1009,1,,
17.35,1010,1,,
17.3667,1011,1,,
17.3833,1012,1,,
17.4,1013,1,,
17.4167,1014,1,,
17.4333,1015,1,,
17.45,1016,1,,
17.4667,1017,1,,
17.4833,1018,1,,
17.5,1019,1,,
17.5167,1020,1,,
17.5333,1021,1,,
17.55,1022,1,,
17.5667,1023,1,,
17.5833,1024,1,,
17.6,1025,1,,
17.6167,1026,1,,
17.6333,1027,1,,
17.65,1028,1,,
17.6667,1029,1,,
17.6833,1030,1,,
17.7,1031,1,,
17.7167,1032,1,,
17.7333,1033,1,,
17.75,1034,1,,
17.7667,1035,1,,
17.7833,1036,1,,
17.8,1037,1,,
17.8167,1038,1,,
17.8333,1039,1,,
17.85,1040,1,,
17.8667,1041,1,,
17.8833,1042,1,,
17.9,1043,1,,
17.9167,1044,1,,
17.9333,1045,1,,
17.95,1046,1,,
17.9667,1047,1,,
17.9833,1048,1,,
18,1049,1,,
18.0167,1050,1,,
18.0333,1051,1,,
18.05,1052,1,,
18.0667,1053,1,,
18.0833,1054,1,,
18.1,1055,1,,
18.1167,1056,1,,
18.1333,1057,1,,
18.15,1058,1,,
18.1667,1059,1,,
18.1833,1060,1,,
18.2,1061,1,,
18.2167,1062,1,,
18.2333,1063,1,,
18.25,1064,1,,
18.2667,1065,1,,
18.2833,1066,1,,
18.3,1067,1,,
18.3167,1068,1,,
18.3333,1069,1,,
18.35,1070,1,,
18.3667,1071,1,,
18.3833,1072,1,,
18.4,1073,1,,
18.4167,1074,1,,
18.4333,1075,1,,
18.45,1076,1,,
18.4667,1077,1,,
18.4833,1078,1,,
18.5,1079,1,,
18.5167,1080,1,,
18.5333,1081,1,,
18.55,1082,1,,
18.5667,1083,1,,
18.5833,1084,1,,
18.6,1085,1,,
18.6167,1086,1,,
18.6333,1087,1,,
18.65,1088,1,,
18.6667,1089,1,,
18.6833,1090,1,,
18.7,1091,1,,
18.7167,1092,1,,
18.7333,1093,1,,
18.75,1094,1,,
18.7667,1095,1,,
18.7833,1096,1,,
18.8,1097,1,,
18.8167,1098,1,,
18.8333,1099,1,,
18.85,1100,1,,
18.8667,1101,1,,
18.8833,1102,1,,
18.9,1103,1,,
18.9167,1104,1,,
18.9333,1105,1,,
18.95,1106,1,,
18.9667,1107,1,,
18.9833,1108,1,,
19,1109,1,,
19.0167,1110,1,,
19.0333,1111,1,,
19.05,1112,1,,
19.0667,1113,1,,
19.0833,1114,1,,
19.1,1115,1,,
19.1167,1116,1,,
19.1333,1117,1,,
19.15,1118,1,,
19.1667,1119,1,,
19.1833,1120,1,,
19.2,1121,1,,
19.2167,1122,1,,
19.2333,1123,1,,
19.25,1124,1,,
19.2667,1125,1,,
19.2833,1126,1,,
19.3,1127,1,,
19.3167,1128,1,,
19.3333,1129,1,,
19.35,1130,1,,
19.3667,1131,1,,
19.3833,1132,1,,
19.4,1133,1,,
19.4167,1134,1,,
19.4333,1135,1,,
19.45,1136,1,,
19.4667,1137,1,,
19.4833,1138,1,,
19.5,1139,1,,
19.5167,1140,1,,
19.5333,1141,1,,
19.55,1142,1,,
19.5667,1143,1,,
