Time,Step_number,Number_of_Actors_true,Actor_Id,Actor_type,Actor_pos_true_lat,Actor_pos_true_lng,Actor_heading_true,Actor_bpoly_true,Actor_acc_lat,Actor_acc_lng,Actor_vel_lat,Actor_vel_lng,Actor_vel_abs,Actor_TTC
26.2667,1545,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
26.2833,1546,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
26.3,1547,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
26.3167,1548,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
26.3333,1549,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
26.35,1550,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
26.3667,1551,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
26.3833,1552,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
26.4,1553,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
26.4167,1554,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
26.4333,1555,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
26.45,1556,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
26.4667,1557,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
